Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2017-064T06:35:37.4610Z [Mar 05] ( 24.668,  90.982)       1144           160      19      48      982
2017-067T05:35:33.1084Z [Mar 08] ( 22.750,  91.793)        371            33       4      17     1028
2017-067T05:36:14.4268Z [Mar 08] ( 22.757,  91.631)        105            96       5       8     1028
2017-067T05:36:17.0281Z [Mar 08] ( 22.750,  91.797)        134           236       7       8     1028
2017-068T19:38:22.6422Z [Mar 09] ( 21.322,  89.213)       1143           316      17      55     1053
2017-068T19:38:25.1361Z [Mar 09] ( 21.164,  89.231)       1137           379      10      65     1053
2017-068T19:38:30.1947Z [Mar 09] ( 21.192,  89.249)       1193           381      12      65     1053
2017-068T19:38:30.2611Z [Mar 09] ( 21.215,  89.355)        191            48       6      14     1053
2017-068T19:38:30.3420Z [Mar 09] ( 21.246,  89.274)         97            10       5       7     1053
2017-068T19:38:32.4654Z [Mar 09] ( 21.408,  89.176)       1072           357      13      53     1053
2017-068T19:38:34.7979Z [Mar 09] ( 21.552,  90.099)         33             0       1       3     1053
2017-068T19:38:39.7199Z [Mar 09] ( 21.473,  89.524)        799           326      17      46     1053
2017-068T19:38:40.1711Z [Mar 09] ( 21.242,  89.206)        339           272       6      25     1053
2017-068T19:38:47.0859Z [Mar 09] ( 21.352,  89.128)        243           287      10      21     1053
2017-068T19:38:51.2215Z [Mar 09] ( 21.213,  89.219)        226            32       7      15     1053
2017-068T19:38:56.4780Z [Mar 09] ( 21.323,  89.211)        290           293       4      21     1053
2017-068T19:39:06.0309Z [Mar 09] ( 21.290,  88.999)       1131           365      10      69     1053
2017-068T19:39:11.4131Z [Mar 09] ( 21.244,  89.233)        458           119       5      27     1053
2017-068T19:39:25.4406Z [Mar 09] ( 21.324,  89.232)        862           365      17      68     1053
2017-068T19:39:27.1647Z [Mar 09] ( 21.191,  90.212)        443           127       7      27     1053
2017-068T19:39:33.3659Z [Mar 09] ( 21.233,  89.256)        605           456      12      39     1053
