Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2017-068T19:39:39.0753Z [Mar 09] ( 21.367,  89.324)        293           148       2      14     1053
2017-068T19:39:39.9762Z [Mar 09] ( 21.490,  89.559)        627           139      14      33     1053
2017-068T19:39:39.9903Z [Mar 09] ( 21.326,  89.352)        124            34       3      12     1053
2017-068T19:39:40.5470Z [Mar 09] ( 21.325,  89.353)        130             1       2       9     1053
2017-068T19:39:48.1579Z [Mar 09] ( 21.140,  89.236)        254            64       2      17     1053
2017-068T19:39:48.8026Z [Mar 09] ( 21.201,  89.220)        594           288      11      37     1053
2017-068T19:39:50.0271Z [Mar 09] ( 21.291,  89.196)        116           218       2       7     1053
2017-068T19:40:04.0692Z [Mar 09] ( 26.800,  91.206)        467           377      17      28     1053
2017-068T19:40:57.0405Z [Mar 09] ( 26.833,  91.229)       1424           585      34      77     1053
2017-077T01:41:23.2301Z [Mar 18] ( 24.602,  92.369)         31           270       2       3     1181
2017-077T01:41:23.3788Z [Mar 18] ( 24.714,  92.435)       1715           578      12      72     1181
2017-077T01:41:33.1045Z [Mar 18] ( 25.093,  90.492)        241           128       4      18     1181
2017-077T01:41:33.1060Z [Mar 18] ( 25.101,  90.405)        668           206      21      50     1181
2017-077T01:41:41.1163Z [Mar 18] ( 24.801,  92.424)        124           196       2       9     1181
2017-077T01:41:43.4759Z [Mar 18] ( 25.022,  90.377)         82           114       4       6     1181
2017-077T01:41:44.1894Z [Mar 18] ( 23.790,  90.305)       1155           227      13      45     1181
2017-077T01:41:44.2005Z [Mar 18] ( 23.818,  90.253)        100           194       3       6     1181
2017-077T01:41:44.2809Z [Mar 18] ( 23.767,  90.406)        791            66       4      28     1181
2017-077T01:42:02.3873Z [Mar 18] ( 23.910,  92.278)        555           102       4      36     1181
2017-077T01:42:04.4053Z [Mar 18] ( 24.618,  92.165)        798           443       9      46     1181
2017-077T01:42:09.5705Z [Mar 18] ( 24.762,  92.316)        446           331       6      31     1181
2017-077T01:42:10.6091Z [Mar 18] ( 23.759,  92.202)        196           103       2      14     1181
2017-077T01:42:11.2357Z [Mar 18] ( 24.591,  92.443)        737           349      14      50     1181
2017-077T01:42:27.0421Z [Mar 18] ( 23.889,  92.273)       2831           443      25     104     1181
2017-077T01:42:35.0383Z [Mar 18] ( 24.651,  92.184)         90           104       3       7     1181
2017-077T01:42:45.7143Z [Mar 18] ( 24.391,  92.397)        106           198       4       8     1181
2017-077T01:42:53.8984Z [Mar 18] ( 23.828,  92.264)        419           657       9      30     1181
2017-077T01:42:53.9376Z [Mar 18] ( 23.783,  92.282)       1615           701       5      79     1181
2017-077T01:42:54.0345Z [Mar 18] ( 24.718,  92.471)        156           804       7      13     1181
2017-078T15:44:22.8326Z [Mar 19] ( 20.584,  87.851)         34            98       3       3     1206
2017-078T15:44:24.4722Z [Mar 19] ( 20.661,  87.917)         11             0       1       1     1206
2017-078T15:44:25.1154Z [Mar 19] ( 20.601,  87.812)         65            34       2       5     1206
2017-078T15:44:25.7957Z [Mar 19] ( 20.651,  87.853)        376           402       8      19     1206
2017-078T15:44:27.3011Z [Mar 19] ( 20.665,  88.215)         13             0       1       1     1206
2017-078T15:44:27.6755Z [Mar 19] ( 20.711,  87.583)       1521           211      23      65     1206
2017-078T15:44:28.1589Z [Mar 19] ( 20.705,  88.214)        120            41       2       8     1206
2017-078T15:44:28.3846Z [Mar 19] ( 20.663,  87.813)        527           545      25      38     1206
2017-078T15:44:28.5082Z [Mar 19] ( 20.577,  87.866)        288           309      10      19     1206
2017-078T15:44:29.8458Z [Mar 19] ( 20.662,  87.849)       1209           345      14      57     1206
2017-078T15:44:29.9227Z [Mar 19] ( 20.773,  88.326)       1036           184      12      43     1206
2017-078T15:44:30.2448Z [Mar 19] ( 20.599,  87.990)         83            91       2       8     1206
2017-078T15:44:32.6638Z [Mar 19] ( 20.747,  87.585)         83            60       4       7     1206
2017-078T15:44:34.0547Z [Mar 19] ( 20.655,  88.229)         89            25       2       7     1206
2017-078T15:44:34.1768Z [Mar 19] ( 20.738,  88.295)        157           182       5      13     1206
2017-078T15:44:35.3526Z [Mar 19] ( 20.650,  87.870)       2082           275      24      85     1206
2017-078T15:44:35.4425Z [Mar 19] ( 20.587,  88.279)        211           175       5      12     1206
2017-078T15:44:35.8647Z [Mar 19] ( 20.704,  87.591)       1586           243      18      60     1206
2017-078T15:44:36.9837Z [Mar 19] ( 20.655,  88.340)         13             0       1       1     1206
2017-078T15:44:37.6465Z [Mar 19] ( 20.781,  88.276)        881           357      12      39     1206
2017-078T15:44:38.0922Z [Mar 19] ( 20.731,  87.613)       1277           472      19      60     1206
2017-078T15:44:38.2963Z [Mar 19] ( 20.791,  88.983)       1024           868      17      61     1206
2017-078T15:44:38.5737Z [Mar 19] ( 20.664,  88.223)         39             0       1       3     1206
2017-078T15:44:38.6385Z [Mar 19] ( 20.671,  87.831)        501           262       6      22     1206
2017-078T15:44:39.3525Z [Mar 19] ( 20.996,  89.015)        886           215      14      49     1206
2017-078T15:44:39.9218Z [Mar 19] ( 20.988,  89.006)        104             2       2       7     1206
2017-078T15:44:40.5861Z [Mar 19] ( 20.789,  89.127)       1704           461      16      83     1206
2017-078T15:44:40.7509Z [Mar 19] ( 20.745,  89.173)         11             0       1       1     1206
2017-078T15:44:41.0116Z [Mar 19] ( 20.586,  88.002)        428           229       8      30     1206
2017-078T15:44:42.0810Z [Mar 19] ( 20.703,  87.573)         26            11       2       2     1206
2017-078T15:44:42.5072Z [Mar 19] ( 20.689,  87.953)       2200           487      24     106     1206
2017-078T15:44:42.7614Z [Mar 19] ( 20.840,  88.976)       1393           651      25      86     1206
2017-078T15:44:43.5528Z [Mar 19] ( 20.989,  89.041)        190           311       5      14     1206
2017-078T15:44:44.0598Z [Mar 19] ( 20.745,  88.345)         30             0       1       2     1206
2017-078T15:44:44.2262Z [Mar 19] ( 20.775,  88.299)       1961           373      29     106     1206
2017-078T15:44:44.3015Z [Mar 19] ( 20.696,  88.224)        107           157       8      10     1206
2017-078T15:44:44.4910Z [Mar 19] ( 20.668,  87.585)        191           118       2       8     1206
2017-078T15:44:45.0669Z [Mar 19] ( 20.724,  87.592)        390           201      11      24     1206
2017-078T15:44:45.4050Z [Mar 19] ( 20.652,  87.852)       1523           384      25      79     1206
2017-078T15:44:46.7049Z [Mar 19] ( 20.807,  88.990)         42           138       4       4     1206
2017-078T15:44:47.1079Z [Mar 19] ( 20.744,  88.251)        485           519      15      42     1206
2017-078T15:44:47.4355Z [Mar 19] ( 20.808,  87.775)        918           214      19      54     1206
2017-078T15:44:48.0582Z [Mar 19] ( 20.735,  87.878)        105           177       3       9     1206
2017-078T15:44:48.4471Z [Mar 19] ( 20.956,  89.039)        169           185       3      12     1206
2017-078T15:44:49.0109Z [Mar 19] ( 20.763,  87.595)        211            35       5      10     1206
2017-078T15:44:49.2793Z [Mar 19] ( 20.708,  88.527)        725            12       8      40     1206
2017-078T15:44:49.4154Z [Mar 19] ( 20.775,  88.583)        485            75       9      35     1206
2017-078T15:44:49.5747Z [Mar 19] ( 20.648,  87.873)        860           209      16      39     1206
2017-078T15:44:49.7843Z [Mar 19] ( 20.999,  88.981)       1392           327      29      81     1206
2017-078T15:44:50.7922Z [Mar 19] ( 20.684,  87.863)       1206           157       9      47     1206
2017-078T15:44:51.1701Z [Mar 19] ( 20.745,  87.628)        886           298      16      42     1206
2017-078T15:44:51.8650Z [Mar 19] ( 20.765,  88.312)       1382          1031      35      88     1206
2017-078T15:44:53.1413Z [Mar 19] ( 20.856,  89.009)       2042           403      34     103     1206
2017-078T15:44:53.5388Z [Mar 19] ( 20.653,  87.892)       1040           514      15      52     1206
2017-078T15:44:53.8936Z [Mar 19] ( 20.784,  88.939)        910           493      11      60     1206
2017-078T15:44:54.1905Z [Mar 19] ( 20.669,  88.037)        406           224       6      29     1206
2017-078T15:44:54.4001Z [Mar 19] ( 20.886,  88.872)        189            21       6      17     1206
2017-078T15:44:54.6257Z [Mar 19] ( 20.885,  88.732)       2681           911      30     197     1206
2017-078T15:44:54.6865Z [Mar 19] ( 20.946,  88.682)       2333           821      18     122     1206
2017-078T15:44:54.9710Z [Mar 19] ( 20.995,  88.607)       2171            91       5      65     1206
2017-078T15:44:54.9785Z [Mar 19] ( 20.729,  87.601)        871           313      13      60     1206
2017-078T15:44:55.0197Z [Mar 19] ( 20.987,  89.045)        791           741      19      51     1206
2017-078T15:44:55.2056Z [Mar 19] ( 20.905,  88.583)         12             0       1       1     1206
2017-078T15:44:55.2860Z [Mar 19] ( 20.916,  89.007)         51            61       2       5     1206
2017-078T15:44:56.0901Z [Mar 19] ( 20.699,  87.849)        793           415      21      49     1206
2017-078T15:44:56.4035Z [Mar 19] ( 20.621,  87.902)        108            64       4       8     1206
2017-078T15:44:57.3257Z [Mar 19] ( 20.727,  88.338)         12             0       1       1     1206
2017-078T15:44:57.6744Z [Mar 19] ( 20.674,  87.885)        569           331       6      25     1206
2017-078T15:44:58.6884Z [Mar 19] ( 20.782,  88.320)        536           220      11      37     1206
2017-078T15:44:58.7849Z [Mar 19] ( 20.737,  87.586)        185           134       5       9     1206
2017-078T15:44:58.8010Z [Mar 19] ( 20.732,  88.264)         75           187       2       6     1206
2017-078T15:44:59.5904Z [Mar 19] ( 20.730,  87.855)        266           127       5      18     1206
2017-078T15:44:59.7211Z [Mar 19] ( 20.824,  89.009)       1115           462      24      71     1206
2017-078T15:44:59.9235Z [Mar 19] ( 20.765,  87.897)         61            91       4       6     1206
2017-078T15:45:00.0758Z [Mar 19] ( 20.639,  87.886)        152           243       7      12     1206
2017-078T15:45:00.1959Z [Mar 19] ( 20.766,  87.617)         65            99       6       6     1206
2017-078T15:45:00.2511Z [Mar 19] ( 20.689,  87.980)         88            39       2       7     1206
2017-078T15:45:01.3039Z [Mar 19] ( 20.709,  87.881)       1858           318      19      80     1206
2017-078T15:45:01.3451Z [Mar 19] ( 21.006,  89.009)       1602           250      25      89     1206
2017-078T15:45:01.3561Z [Mar 19] ( 20.726,  87.911)        493           227       7      24     1206
2017-078T15:45:01.6511Z [Mar 19] ( 21.098,  88.949)         35             0       1       2     1206
2017-078T15:45:01.9607Z [Mar 19] ( 21.018,  89.016)       2206           241      26     117     1206
2017-078T15:45:03.0621Z [Mar 19] ( 21.376,  89.061)       4565           780      61     245     1206
2017-078T15:45:03.3430Z [Mar 19] ( 20.784,  88.311)       1277           302      21      78     1206
2017-078T15:45:03.6762Z [Mar 19] ( 20.822,  89.063)         75            36       4       7     1206
2017-078T15:45:03.7586Z [Mar 19] ( 20.725,  88.250)         22             0       1       2     1206
2017-078T15:45:03.9289Z [Mar 19] ( 20.718,  87.586)         23           102       2       2     1206
2017-078T15:45:04.0359Z [Mar 19] ( 20.813,  87.615)       2105           764      17     128     1206
2017-078T15:45:04.4801Z [Mar 19] ( 20.769,  88.871)        126             0       1      10     1206
2017-078T15:45:04.7560Z [Mar 19] ( 20.769,  89.018)        291           107       3      21     1206
2017-078T15:45:06.0680Z [Mar 19] ( 20.625,  87.984)       2228           490      30     100     1206
2017-078T15:45:06.3961Z [Mar 19] ( 20.834,  89.015)        878           553      19      64     1206
2017-078T15:45:06.4318Z [Mar 19] ( 20.666,  87.801)         84           146       3       7     1206
2017-078T15:45:06.5675Z [Mar 19] ( 20.653,  87.873)        747           207       9      35     1206
2017-078T15:45:06.7825Z [Mar 19] ( 21.247,  89.130)       1602           349      28      94     1206
2017-078T15:45:07.0207Z [Mar 19] ( 21.285,  89.283)        150             3       3      11     1206
2017-078T15:45:08.0323Z [Mar 19] ( 20.713,  88.348)         67            76       4       6     1206
2017-078T15:45:08.3796Z [Mar 19] ( 20.918,  88.997)       1213           123      17      65     1206
2017-078T15:45:08.3886Z [Mar 19] ( 20.755,  88.288)         21             0       1       2     1206
2017-078T15:45:08.4208Z [Mar 19] ( 20.995,  89.014)         56             5       2       4     1206
2017-078T15:45:08.4278Z [Mar 19] ( 20.741,  87.564)         34            62       2       3     1206
2017-078T15:45:08.9809Z [Mar 19] ( 20.776,  88.318)       2255           514      41     124     1206
2017-078T15:45:09.8533Z [Mar 19] ( 21.081,  89.097)       3272           561      44     180     1206
2017-078T15:45:09.8729Z [Mar 19] ( 20.744,  87.900)        511           547       9      36     1206
2017-078T15:45:10.0392Z [Mar 19] ( 20.739,  87.612)       2124           850      34     107     1206
2017-078T15:45:11.0975Z [Mar 19] ( 20.648,  87.873)        216           121       5      12     1206
2017-078T15:45:11.1155Z [Mar 19] ( 20.672,  88.343)         26             0       1       2     1206
2017-078T15:45:12.0964Z [Mar 19] ( 20.853,  89.086)        115             2       2       8     1206
2017-078T15:45:12.4814Z [Mar 19] ( 20.755,  88.948)       1039           429       9      70     1206
2017-078T15:45:12.6015Z [Mar 19] ( 20.928,  89.101)       1661           273      24     102     1206
2017-078T15:45:13.7938Z [Mar 19] ( 20.764,  88.310)       1345           521      12      57     1206
2017-078T15:45:14.1878Z [Mar 19] ( 20.703,  87.859)       3276           282      32     136     1206
2017-078T15:45:14.8682Z [Mar 19] ( 20.626,  87.877)        120            51       4       8     1206
2017-078T15:45:16.0244Z [Mar 19] ( 20.822,  89.019)       1168           367      10      52     1206
2017-078T15:45:16.8610Z [Mar 19] ( 20.751,  87.635)        755          1025      16      47     1206
2017-078T15:45:17.3243Z [Mar 19] ( 20.588,  88.020)         44           100       4       4     1206
2017-078T15:45:17.4158Z [Mar 19] ( 20.977,  89.071)       4857           594      53     239     1206
2017-078T15:45:17.4319Z [Mar 19] ( 20.714,  88.230)         70           173       2       5     1206
2017-078T15:45:17.6666Z [Mar 19] ( 20.547,  87.967)         69             0       1       2     1206
2017-078T15:45:17.9922Z [Mar 19] ( 20.662,  87.882)        138            98       2      10     1206
2017-078T15:45:18.6299Z [Mar 19] ( 20.902,  89.026)         51             0       1       4     1206
2017-078T15:45:19.3263Z [Mar 19] ( 20.633,  87.886)       2826           391      26      98     1206
2017-078T15:45:20.0459Z [Mar 19] ( 20.856,  89.043)        103            84       5       9     1206
2017-078T15:45:20.2107Z [Mar 19] ( 20.741,  87.556)         97             9       3       7     1206
2017-078T15:45:21.3880Z [Mar 19] ( 20.764,  88.068)       1832           594      16     100     1206
2017-078T15:45:21.4794Z [Mar 19] ( 20.759,  89.085)         51           155       3       5     1206
2017-078T15:45:21.6277Z [Mar 19] ( 20.750,  88.295)       1611           234      15      69     1206
2017-078T15:45:23.3563Z [Mar 19] ( 20.674,  88.339)         49            55       2       4     1206
2017-078T15:45:23.5462Z [Mar 19] ( 20.601,  88.015)       2162           412      15      94     1206
2017-078T15:45:23.7844Z [Mar 19] ( 20.785,  89.029)        136           228       5      10     1206
2017-078T15:45:23.8638Z [Mar 19] ( 20.695,  87.864)         35             0       1       3     1206
2017-078T15:45:24.0859Z [Mar 19] ( 20.855,  88.990)        171           384       7      17     1206
2017-078T15:45:24.3975Z [Mar 19] ( 20.653,  87.841)        529           215      10      30     1206
2017-078T15:45:24.7342Z [Mar 19] ( 20.688,  89.111)        845           320      17      62     1206
2017-078T15:45:25.7045Z [Mar 19] ( 20.772,  88.316)       4733           659      54     213     1206
2017-078T15:45:25.7778Z [Mar 19] ( 20.673,  87.878)       2584           626      27     133     1206
2017-078T15:45:25.8677Z [Mar 19] ( 20.776,  87.573)        280           461       9      20     1206
2017-078T15:45:26.1234Z [Mar 19] ( 20.934,  89.078)        830           297      12      49     1206
2017-078T15:45:26.2289Z [Mar 19] ( 20.722,  88.372)         11             0       1       1     1206
2017-078T15:45:26.2686Z [Mar 19] ( 20.701,  87.909)        354           137       6      25     1206
2017-078T15:45:28.2129Z [Mar 19] ( 20.999,  89.047)       2847           857      47     164     1206
2017-078T15:45:28.5134Z [Mar 19] ( 20.651,  88.323)         30             0       1       2     1206
2017-078T15:45:30.2038Z [Mar 19] ( 20.662,  88.863)        671           375       7      42     1206
2017-078T15:45:30.5656Z [Mar 19] ( 20.866,  89.169)       1175           266      10      68     1206
2017-078T15:45:31.2404Z [Mar 19] ( 20.632,  87.890)        494           264      11      24     1206
2017-078T15:45:31.2585Z [Mar 19] ( 20.708,  87.600)        280            83       7      14     1206
2017-078T15:45:32.3363Z [Mar 19] ( 20.659,  87.837)         28             0       1       2     1206
2017-078T15:45:32.7393Z [Mar 19] ( 20.740,  87.613)       1910           405      22      73     1206
2017-078T15:45:33.0523Z [Mar 19] ( 20.755,  88.302)       2353           587      23     105     1206
2017-078T15:45:33.5106Z [Mar 19] ( 20.805,  89.014)        708           393      15      47     1206
2017-078T15:45:35.2026Z [Mar 19] ( 21.070,  89.050)       5839          1026      58     254     1206
2017-078T15:45:35.8774Z [Mar 19] ( 20.681,  87.884)       2788           585      29     121     1206
2017-078T15:45:36.2875Z [Mar 19] ( 20.704,  87.638)        382           352       7      20     1206
2017-078T15:45:36.3232Z [Mar 19] ( 20.742,  88.284)        112             0       1       5     1206
2017-078T15:45:36.6080Z [Mar 19] ( 20.905,  89.028)       2556           377      20     126     1206
2017-078T15:45:37.7004Z [Mar 19] ( 20.982,  88.988)       2342           649      31     120     1206
2017-078T15:45:38.1894Z [Mar 19] ( 20.626,  87.895)        396           169      14      24     1206
2017-078T15:45:38.9305Z [Mar 19] ( 20.619,  87.869)         53             0       1       4     1206
2017-078T15:45:41.2506Z [Mar 19] ( 20.750,  88.305)       1707           782      31      89     1206
2017-078T15:45:41.6159Z [Mar 19] ( 20.606,  87.996)        256           114       7      19     1206
2017-078T15:45:41.6335Z [Mar 19] ( 20.850,  89.021)        756           379      20      52     1206
2017-078T15:45:42.3712Z [Mar 19] ( 20.758,  88.949)        166           238       3      13     1206
2017-078T15:45:42.7028Z [Mar 19] ( 24.005,  87.805)       2387           601      39     137     1206
2017-078T15:45:43.1987Z [Mar 19] ( 20.742,  87.620)        232           196      13      14     1206
2017-078T15:45:43.2595Z [Mar 19] ( 20.630,  87.890)        152           166      10      10     1206
2017-078T15:45:43.3796Z [Mar 19] ( 20.967,  89.078)       2055           372      15      83     1206
2017-078T15:45:44.3911Z [Mar 19] ( 20.767,  87.639)         62            76       4       6     1206
2017-078T15:45:44.4198Z [Mar 19] ( 20.807,  89.095)         21             0       1       2     1206
2017-078T15:45:46.5036Z [Mar 19] ( 20.673,  87.865)        181           454       9      13     1206
2017-078T15:45:46.5378Z [Mar 19] ( 20.992,  89.031)        270           120      10      21     1206
2017-078T15:45:46.9101Z [Mar 19] ( 20.704,  87.601)         42             0       1       3     1206
2017-078T15:45:47.0965Z [Mar 19] ( 20.557,  88.130)        679           340       9      38     1206
2017-078T15:45:47.2558Z [Mar 19] ( 20.804,  89.012)       2374           610      26     122     1206
2017-078T15:45:47.3061Z [Mar 19] ( 20.735,  88.344)       1270           503      36      95     1206
2017-078T15:45:48.1010Z [Mar 19] ( 20.719,  87.575)         31             7       2       3     1206
2017-078T15:45:48.1598Z [Mar 19] ( 20.738,  87.759)        143            85       4      11     1206
2017-078T15:45:48.8674Z [Mar 19] ( 20.857,  87.777)         12             0       1       1     1206
2017-078T15:45:48.8744Z [Mar 19] ( 20.800,  87.805)        924           243      21      56     1206
2017-078T15:45:49.9628Z [Mar 19] ( 20.617,  87.883)        603           349      26      36     1206
2017-078T15:45:50.1241Z [Mar 19] ( 20.681,  88.242)        101            66       3       7     1206
2017-078T15:45:50.9476Z [Mar 19] ( 20.701,  87.616)       2188           365      24      76     1206
2017-078T15:45:51.2250Z [Mar 19] ( 20.946,  89.068)         49           130       2       4     1206
2017-078T15:45:51.3537Z [Mar 19] ( 21.438,  89.052)        284           150      13      23     1206
2017-078T15:45:51.8572Z [Mar 19] ( 20.635,  88.221)        101            46       3       8     1206
2017-078T15:45:52.2994Z [Mar 19] ( 20.753,  88.329)        606           105      14      38     1206
2017-078T15:45:52.4069Z [Mar 19] ( 21.328,  89.114)         25             0       1       2     1206
2017-078T15:45:52.9616Z [Mar 19] ( 20.726,  88.292)         53           136       3       5     1206
2017-078T15:45:53.0189Z [Mar 19] ( 20.896,  88.995)       1073           483      19      67     1206
2017-078T15:45:53.3073Z [Mar 19] ( 20.706,  87.896)        343           465       9      26     1206
2017-078T15:45:53.4345Z [Mar 19] ( 21.015,  89.036)       1930           827      35     121     1206
2017-078T15:45:54.0129Z [Mar 19] ( 20.637,  87.848)         24             9       2       2     1206
2017-078T15:45:55.2872Z [Mar 19] ( 20.715,  88.304)        125           154       7      11     1206
2017-078T15:45:55.8048Z [Mar 19] ( 20.683,  87.895)        758           614      17      42     1206
2017-078T15:45:56.1791Z [Mar 19] ( 20.830,  89.050)        559           245      10      31     1206
2017-078T15:45:56.9685Z [Mar 19] ( 20.714,  88.294)        200           259       6      12     1206
2017-078T15:45:58.0946Z [Mar 19] ( 20.859,  89.070)         70             0       1       6     1206
2017-078T15:45:58.8238Z [Mar 19] ( 21.139,  89.195)       2815           960      58     208     1206
2017-078T15:45:59.0438Z [Mar 19] ( 21.227,  89.141)        594           119       6      29     1206
2017-078T15:45:59.1242Z [Mar 19] ( 21.310,  89.141)         44             3       2       4     1206
2017-078T15:45:59.2970Z [Mar 19] ( 21.162,  89.081)        975           504      18      56     1206
2017-078T15:45:59.3025Z [Mar 19] ( 21.064,  89.330)        292            92       3      24     1206
2017-078T15:45:59.3312Z [Mar 19] ( 21.056,  89.413)        162             3       3      16     1206
2017-078T15:45:59.4010Z [Mar 19] ( 20.942,  89.080)        467           309       9      31     1206
2017-078T15:45:59.4513Z [Mar 19] ( 21.131,  88.993)         21           239       2       2     1206
2017-078T15:46:01.8679Z [Mar 19] ( 20.770,  88.863)        121           189       2       9     1206
2017-078T15:46:02.2744Z [Mar 19] ( 20.857,  89.008)       2061           379      20     102     1206
2017-078T15:46:03.4758Z [Mar 19] ( 20.746,  88.965)        204           225       8      17     1206
2017-078T15:46:04.4859Z [Mar 19] ( 21.003,  89.081)       3993           649      45     184     1206
2017-078T15:46:04.9335Z [Mar 19] ( 20.863,  89.051)        159           112       3      11     1206
2017-078T15:46:05.0817Z [Mar 19] ( 20.718,  89.070)         11             0       1       1     1206
2017-078T15:46:05.9199Z [Mar 19] ( 20.831,  89.011)        273            44       3      16     1206
2017-078T15:46:06.6862Z [Mar 19] ( 20.786,  89.078)         94           419       6       8     1206
2017-078T15:46:07.4580Z [Mar 19] ( 20.972,  89.021)         68             0       1       5     1206
2017-078T15:46:10.4354Z [Mar 19] ( 20.937,  89.082)        314           304       7      19     1206
2017-083T22:46:51.3638Z [Mar 24] ( 26.936,  88.682)        897           211      16      46     1288
2017-083T22:46:54.1637Z [Mar 24] ( 26.956,  88.898)       1704           233      14      86     1288
2017-083T22:46:56.5989Z [Mar 24] ( 26.906,  88.639)        565           317      12      32     1288
2017-083T22:46:59.2722Z [Mar 24] ( 26.811,  88.338)       1454           302      36      96     1288
2017-083T22:46:59.4420Z [Mar 24] ( 26.760,  88.215)       1553           141       9      54     1288
2017-083T22:46:59.5656Z [Mar 24] ( 26.751,  88.155)        598            14       6      35     1288
2017-083T22:47:00.5701Z [Mar 24] ( 25.779,  88.610)        811           445      22      32     1288
2017-083T22:47:00.5827Z [Mar 24] ( 26.885,  88.703)         78            46       4       7     1288
2017-083T22:47:02.0239Z [Mar 24] ( 25.775,  88.680)        186           224       9      14     1288
2017-083T22:47:02.4766Z [Mar 24] ( 25.826,  88.607)         89            86       4       7     1288
2017-083T22:47:03.8374Z [Mar 24] ( 25.748,  88.638)         90           129       5       7     1288
2017-083T22:47:04.0007Z [Mar 24] ( 25.716,  88.670)         78           277       5       7     1288
2017-083T22:47:04.0811Z [Mar 24] ( 25.761,  88.556)        784           630      15      38     1288
2017-083T22:47:04.1062Z [Mar 24] ( 26.827,  88.923)       3093           696      57     171     1288
2017-083T22:47:04.9725Z [Mar 24] ( 25.970,  88.533)        997           412      18      54     1288
2017-083T22:47:05.5780Z [Mar 24] ( 26.920,  88.668)       1820           402      14      71     1288
2017-083T22:47:05.7926Z [Mar 24] ( 26.593,  88.600)       1543           171      12      76     1288
2017-083T22:47:05.9644Z [Mar 24] ( 25.763,  88.600)        220           123       6      12     1288
2017-083T22:47:06.0398Z [Mar 24] ( 26.530,  88.660)         22             0       1       2     1288
2017-083T22:47:07.7785Z [Mar 24] ( 26.289,  88.533)       5170           581      82     251     1288
2017-083T22:47:07.9950Z [Mar 24] ( 26.326,  88.263)       4332           782      48     198     1288
2017-083T22:47:08.1900Z [Mar 24] ( 26.437,  88.187)        125           207       7      12     1288
2017-083T22:47:08.3332Z [Mar 24] ( 26.469,  88.136)         85            62       2       8     1288
2017-083T22:47:08.3513Z [Mar 24] ( 26.318,  88.053)        136             3       3      12     1288
2017-083T22:47:08.4247Z [Mar 24] ( 26.319,  88.098)       6298          1232      82     312     1288
2017-083T22:47:08.4764Z [Mar 24] ( 26.213,  88.204)       4258           783      58     218     1288
2017-083T22:47:08.5287Z [Mar 24] ( 26.494,  88.614)         11             0       1       1     1288
2017-083T22:47:08.7271Z [Mar 24] ( 25.776,  88.577)        477           254      13      27     1288
2017-083T22:47:08.9632Z [Mar 24] ( 25.774,  88.656)        135            48       3       7     1288
2017-083T22:47:09.6411Z [Mar 24] ( 26.837,  88.712)         78            21       2       7     1288
2017-083T22:47:10.5616Z [Mar 24] ( 25.824,  88.601)        236           185       9      15     1288
2017-083T22:47:10.6315Z [Mar 24] ( 26.014,  88.495)        314           306      15      25     1288
2017-083T22:47:13.2813Z [Mar 24] ( 26.888,  88.734)        318           264      11      24     1288
2017-083T22:47:13.2828Z [Mar 24] ( 26.783,  89.138)         97            62       5       9     1288
2017-083T22:47:13.4742Z [Mar 24] ( 25.790,  88.640)        407           284       7      17     1288
2017-083T22:47:14.1566Z [Mar 24] ( 26.039,  88.572)        424           581      12      26     1288
