Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-111T10:45:20.5802Z [Apr 21] ( 23.611,  87.553)         25            98       2       2     7389
2018-111T10:45:20.6862Z [Apr 21] ( 23.814,  90.185)        333           219       4      22     7389
2018-111T10:45:20.9366Z [Apr 21] ( 23.507,  87.580)        191           175       5      12     7389
2018-111T10:45:21.0225Z [Apr 21] ( 23.470,  90.755)        466            98       3      15     7389
2018-111T10:45:21.0331Z [Apr 21] ( 24.214,  91.877)        240           186       5      14     7389
2018-111T10:45:22.4978Z [Apr 21] ( 23.524,  90.706)        239           417      11      17     7389
2018-111T10:45:22.7520Z [Apr 21] ( 23.486,  90.821)        550           410      12      37     7389
2018-111T10:45:22.8380Z [Apr 21] ( 24.013,  90.025)        180           386       5      11     7389
2018-111T10:45:22.9761Z [Apr 21] ( 23.882,  88.181)        530           239      11      29     7389
2018-111T10:45:24.3098Z [Apr 21] ( 23.421,  90.864)        482           440      13      30     7389
2018-111T10:45:24.3691Z [Apr 21] ( 23.587,  90.731)        582           528      16      35     7389
2018-111T10:45:24.7093Z [Apr 21] ( 23.503,  90.670)        332           194       6      19     7389
2018-111T10:45:24.7198Z [Apr 21] ( 23.745,  88.008)        247            76       4      18     7389
2018-111T10:45:24.8916Z [Apr 21] ( 23.583,  90.506)        103            12       2       9     7389
2018-111T10:45:24.8987Z [Apr 21] ( 23.566,  87.507)        135            43       3       8     7389
2018-111T10:45:24.9203Z [Apr 21] ( 23.753,  88.066)         77           261       2       6     7389
2018-111T10:45:25.4881Z [Apr 21] ( 23.551,  91.785)        970           268      12      42     7389
2018-111T10:45:25.5022Z [Apr 21] ( 23.618,  90.410)         37            94       3       3     7389
2018-111T10:45:26.9995Z [Apr 21] ( 23.492,  90.752)        328           375       7      20     7389
2018-111T10:45:27.1085Z [Apr 21] ( 23.407,  91.770)        649           438      18      37     7389
2018-111T10:45:27.3593Z [Apr 21] ( 24.176,  91.795)        266            16       5      16     7389
2018-111T10:45:27.4844Z [Apr 21] ( 24.063,  90.042)        187            53       3      14     7389
2018-111T10:45:27.8780Z [Apr 21] ( 24.248,  91.858)         33             0       1       3     7389
2018-111T10:45:27.9051Z [Apr 21] ( 23.820,  90.317)        586           150       7      28     7389
2018-111T10:45:28.0624Z [Apr 21] ( 23.331,  91.669)         77            39       3       6     7389
2018-111T10:45:28.2418Z [Apr 21] ( 23.458,  90.721)        184           259       3       9     7389
2018-111T10:45:28.8810Z [Apr 21] ( 23.539,  90.799)        316           325       7      18     7389
2018-111T10:45:28.9629Z [Apr 21] ( 24.335,  91.827)        622           377      17      36     7389
2018-111T10:45:29.2051Z [Apr 21] ( 23.780,  88.044)        598           250      12      38     7389
2018-111T10:45:30.1698Z [Apr 21] ( 24.170,  92.270)       3826           505      14     132     7389
2018-111T10:45:31.3855Z [Apr 21] ( 24.230,  91.821)        248           143       5      16     7389
2018-111T10:45:31.7171Z [Apr 21] ( 23.662,  87.626)         94             1       2       6     7389
2018-111T10:45:31.8010Z [Apr 21] ( 23.754,  87.608)        148           420       5      10     7389
2018-111T10:45:31.9175Z [Apr 21] ( 23.475,  90.805)        998           579      12      44     7389
2018-111T10:45:33.0084Z [Apr 21] ( 23.372,  91.643)       1494           331      13      58     7389
2018-111T10:45:33.5225Z [Apr 21] ( 23.502,  91.633)       1353           256      18      53     7389
2018-111T10:45:33.6029Z [Apr 21] ( 23.494,  90.692)        102           199       4       7     7389
2018-111T10:45:33.6351Z [Apr 21] ( 24.387,  91.806)         76             5       2       5     7389
2018-111T10:45:33.7089Z [Apr 21] ( 23.589,  90.781)       2284           709      29     109     7389
2018-111T10:45:34.2145Z [Apr 21] ( 23.486,  91.797)       1235           247      17      68     7389
2018-111T10:45:34.9698Z [Apr 21] ( 23.431,  90.747)        117           263       5       9     7389
2018-111T10:45:35.0848Z [Apr 21] ( 23.435,  91.743)        167           155       6      11     7389
2018-111T10:45:36.1536Z [Apr 21] ( 24.205,  91.871)         13             0       1       1     7389
2018-111T10:45:36.2361Z [Apr 21] ( 23.481,  90.510)         24             0       1       2     7389
2018-111T10:45:36.6315Z [Apr 21] ( 23.517,  90.784)        258           325       8      16     7389
2018-111T10:45:36.7657Z [Apr 21] ( 23.565,  91.816)        403           304       8      26     7389
2018-111T10:45:37.4285Z [Apr 21] ( 23.495,  90.898)       1040           827      23      60     7389
2018-111T10:45:37.5732Z [Apr 21] ( 23.733,  87.630)        292           187       5      15     7389
2018-111T10:45:37.7973Z [Apr 21] ( 23.477,  90.711)        195           176       2       8     7389
2018-111T10:45:38.0299Z [Apr 21] ( 23.603,  87.515)         34             0       1       2     7389
2018-111T10:45:38.3179Z [Apr 21] ( 23.696,  90.309)       2839           802      22     125     7389
2018-111T10:45:38.5812Z [Apr 21] ( 23.857,  88.146)        203            71       5      13     7389
2018-111T10:45:39.0219Z [Apr 21] ( 23.540,  90.712)        120           123       3       9     7389
2018-111T10:45:39.9017Z [Apr 21] ( 23.455,  90.756)        913           412      10      40     7389
2018-111T10:45:39.9786Z [Apr 21] ( 23.654,  87.533)         87           304       3       6     7389
2018-111T10:45:40.4208Z [Apr 21] ( 24.348,  91.813)       1744           621      22      86     7389
2018-111T10:45:40.9420Z [Apr 21] ( 23.768,  88.064)        942           255      10      43     7389
2018-111T10:45:41.2179Z [Apr 21] ( 23.395,  91.725)        108            85       5       8     7389
2018-111T10:45:41.3626Z [Apr 21] ( 23.479,  90.828)        432           689      14      26     7389
2018-111T10:45:41.4470Z [Apr 21] ( 23.492,  90.708)         91           143       4       8     7389
2018-111T10:45:41.6204Z [Apr 21] ( 24.239,  91.840)         33            43       2       3     7389
2018-111T10:45:42.0394Z [Apr 21] ( 23.991,  88.042)       1302           408      15      75     7389
2018-111T10:45:42.4459Z [Apr 21] ( 23.422,  90.734)        168           157       3       9     7389
2018-111T10:45:42.8756Z [Apr 21] ( 23.441,  91.777)        488            78       6      25     7389
2018-111T10:45:43.3303Z [Apr 21] ( 23.433,  90.672)         25           209       2       2     7389
2018-111T10:45:43.4057Z [Apr 21] ( 23.818,  90.297)        312           238       8      18     7389
2018-111T10:45:43.5524Z [Apr 21] ( 24.381,  91.848)         66           121       2       4     7389
2018-111T10:45:43.8710Z [Apr 21] ( 23.547,  90.798)        544           574      15      30     7389
2018-111T10:45:43.9087Z [Apr 21] ( 23.371,  90.614)         69           220       4       6     7389
2018-111T10:45:45.0312Z [Apr 21] ( 23.335,  91.678)        302           220       6      18     7389
2018-111T10:45:45.1207Z [Apr 21] ( 24.040,  90.014)        105            12       3       6     7389
2018-111T10:45:45.3965Z [Apr 21] ( 23.432,  91.717)        206           136       5      14     7389
2018-111T10:45:46.4226Z [Apr 21] ( 24.047,  91.958)         34            10       2       3     7389
2018-111T10:45:46.4422Z [Apr 21] ( 24.319,  91.882)       1228           379      21      61     7389
2018-111T10:45:46.7036Z [Apr 21] ( 23.535,  90.699)        182            80       3       9     7389
2018-111T10:45:46.8790Z [Apr 21] ( 23.899,  88.042)        631           231       7      38     7389
2018-111T10:45:46.8825Z [Apr 21] ( 24.100,  91.859)        280             3       3      18     7389
2018-111T10:45:47.4609Z [Apr 21] ( 23.497,  90.872)        168           519       3      11     7389
2018-111T10:45:47.9171Z [Apr 21] ( 23.779,  87.657)        392           319       7      24     7389
2018-111T10:45:48.0749Z [Apr 21] ( 23.514,  91.808)        303           105       7      20     7389
2018-111T10:45:48.3633Z [Apr 21] ( 24.237,  91.882)        190           150       4      13     7389
2018-111T10:45:48.9915Z [Apr 21] ( 23.393,  90.829)        641           442      10      37     7389
2018-111T10:45:49.0347Z [Apr 21] ( 23.548,  90.761)        989           433      20      53     7389
2018-111T10:45:50.2055Z [Apr 21] ( 23.445,  90.742)       1031           257       8      39     7389
2018-111T10:45:50.7301Z [Apr 21] ( 23.385,  91.742)        658           319      12      40     7389
2018-111T10:45:50.7427Z [Apr 21] ( 23.567,  91.807)       2067           632      25      91     7389
2018-111T10:45:51.6346Z [Apr 21] ( 23.491,  90.708)         24             0       1       2     7389
2018-111T10:45:51.6346Z [Apr 21] ( 24.361,  91.828)         22             0       1       1     7389
2018-111T10:45:51.8868Z [Apr 21] ( 23.536,  90.775)       1208           641      24      59     7389
2018-111T10:45:52.2360Z [Apr 21] ( 23.475,  91.777)        276           288       6      16     7389
2018-111T10:45:52.3541Z [Apr 21] ( 23.665,  87.624)         81           100       4       6     7389
2018-111T10:45:52.9395Z [Apr 21] ( 23.826,  90.302)        136           304       9      10     7389
2018-111T10:45:53.1224Z [Apr 21] ( 23.633,  87.506)        167           250       6      12     7389
2018-111T10:45:53.2224Z [Apr 21] ( 23.379,  91.671)        807           311      16      49     7389
2018-111T10:45:54.5994Z [Apr 21] ( 23.513,  90.779)       1039           667      19      60     7389
2018-111T10:45:54.9159Z [Apr 21] ( 24.231,  91.863)        226           208       4      15     7389
2018-111T10:45:54.9214Z [Apr 21] ( 23.354,  91.584)       1740           264      16      84     7389
2018-111T10:45:55.0626Z [Apr 21] ( 23.628,  91.859)       5244           809      40     204     7389
2018-111T10:45:55.3174Z [Apr 21] ( 23.726,  87.679)         68           288       2       6     7389
2018-111T10:45:56.2249Z [Apr 21] ( 23.674,  90.832)        903           273      10      45     7389
2018-111T10:45:56.5832Z [Apr 21] ( 24.327,  91.850)        129           254       4      11     7389
2018-111T10:45:56.5937Z [Apr 21] ( 23.630,  90.750)       2448           707      28     118     7389
2018-111T10:45:56.7822Z [Apr 21] ( 23.782,  88.016)        131           307       7      11     7389
2018-111T10:45:56.9535Z [Apr 21] ( 23.454,  90.517)        324           150       2      26     7389
2018-111T10:45:57.8901Z [Apr 21] ( 23.462,  90.861)        663           252      13      38     7389
2018-111T10:45:58.3162Z [Apr 21] ( 23.536,  90.637)         71           467       6       6     7389
2018-111T10:45:59.3941Z [Apr 21] ( 23.442,  91.735)        487           169       7      27     7389
2018-111T10:46:00.0329Z [Apr 21] ( 23.507,  90.665)        123            52       3       7     7389
2018-111T10:46:00.3032Z [Apr 21] ( 23.823,  90.265)        309           111       6      17     7389
2018-111T10:46:00.3519Z [Apr 21] ( 23.650,  87.555)        128           592       4      10     7389
2018-111T10:46:00.5866Z [Apr 21] ( 23.493,  90.763)       1484          1016      27      79     7389
2018-111T10:46:00.9962Z [Apr 21] ( 24.344,  91.804)        333           315      10      22     7389
2018-111T10:46:01.0715Z [Apr 21] ( 24.298,  92.002)       2011           415      28     130     7389
2018-111T10:46:01.7523Z [Apr 21] ( 23.556,  90.762)        150           243       7      12     7389
2018-111T10:46:02.6061Z [Apr 21] ( 23.423,  90.724)        188           442       8      14     7389
2018-111T10:46:04.0709Z [Apr 21] ( 23.448,  91.769)        766           261       9      38     7389
2018-111T10:46:04.3126Z [Apr 21] ( 23.756,  87.991)        132            76       2       9     7389
2018-111T10:46:04.3608Z [Apr 21] ( 23.519,  90.673)        301           324       7      18     7389
2018-111T10:46:04.7081Z [Apr 21] ( 23.372,  91.650)        477           460       7      26     7389
2018-111T10:46:05.1111Z [Apr 21] ( 24.394,  91.813)        124           322       5       9     7389
2018-111T10:46:05.3668Z [Apr 21] ( 24.020,  89.997)         18             0       1       1     7389
2018-111T10:46:05.6518Z [Apr 21] ( 23.493,  90.797)        988           735      15      48     7389
2018-111T10:46:05.8808Z [Apr 21] ( 23.589,  90.723)        764           542      17      47     7389
2018-111T10:46:06.1778Z [Apr 21] ( 24.252,  91.827)        741           268      14      49     7389
2018-111T10:46:06.2336Z [Apr 21] ( 23.577,  91.836)        269           220      10      22     7389
2018-111T10:46:07.7176Z [Apr 21] ( 23.532,  90.740)        126           322       8      10     7389
2018-111T10:46:08.0080Z [Apr 21] ( 23.537,  90.643)        160             0       1       6     7389
2018-111T10:46:08.6899Z [Apr 21] ( 23.461,  90.704)        221           154       5      14     7389
2018-111T10:46:08.9838Z [Apr 21] ( 23.571,  90.795)       2568           741      25     106     7389
2018-111T10:46:09.0356Z [Apr 21] ( 23.456,  90.605)         76           198       4       6     7389
2018-111T10:46:10.3481Z [Apr 21] ( 23.444,  91.713)       2530           821      26     119     7389
2018-111T10:46:11.2395Z [Apr 21] ( 23.505,  90.641)        172           302       7      12     7389
2018-111T10:46:11.3933Z [Apr 21] ( 23.779,  91.860)       9536           959     108     487     7389
2018-111T10:46:11.5887Z [Apr 21] ( 23.801,  91.947)        392           157       7      22     7389
2018-111T10:46:11.6837Z [Apr 21] ( 23.439,  90.699)        177           341       6      14     7389
2018-111T10:46:11.7746Z [Apr 21] ( 23.503,  91.624)       1441           213      12      59     7389
2018-111T10:46:11.9017Z [Apr 21] ( 23.716,  90.234)       1155           274       9      60     7389
2018-111T10:46:12.1776Z [Apr 21] ( 23.838,  91.913)       2750           235      37     161     7389
2018-111T10:46:12.4292Z [Apr 21] ( 23.551,  90.682)        954           676      18      53     7389
2018-111T10:46:13.0684Z [Apr 21] ( 23.379,  91.546)        384           184       7      24     7389
2018-111T10:46:13.6257Z [Apr 21] ( 23.375,  91.676)        188           304       8      13     7389
2018-111T10:46:13.9905Z [Apr 21] ( 23.509,  90.774)       1340           819      24      75     7389
2018-111T10:46:14.2593Z [Apr 21] ( 23.505,  91.784)        347           363       9      23     7389
2018-111T10:46:14.4424Z [Apr 21] ( 23.487,  91.822)       4170           326      16     129     7389
2018-111T10:46:16.0308Z [Apr 21] ( 23.606,  90.741)         88             0       1       5     7389
2018-111T10:46:17.1102Z [Apr 21] ( 23.478,  90.685)        294           241       6      18     7389
2018-111T10:46:17.2750Z [Apr 21] ( 23.532,  90.814)        469           393      10      26     7389
2018-111T10:46:17.3735Z [Apr 21] ( 23.425,  91.631)        565           204       8      28     7389
2018-111T10:46:18.4870Z [Apr 21] ( 23.334,  91.662)        690           381      10      37     7389
2018-111T10:46:19.4182Z [Apr 21] ( 23.508,  90.688)        531           547       8      24     7389
2018-111T10:46:19.5021Z [Apr 21] ( 23.440,  90.730)        476           504      12      28     7389
2018-111T10:46:19.8925Z [Apr 21] ( 23.331,  91.543)        508           132       6      38     7389
2018-111T10:46:20.7880Z [Apr 21] ( 23.447,  91.754)         73            92       4       6     7389
2018-111T10:46:21.2819Z [Apr 21] ( 23.439,  91.832)       2041           599      26      98     7389
2018-111T10:46:21.5061Z [Apr 21] ( 24.341,  91.857)         91           211       6       7     7389
2018-111T10:46:22.4331Z [Apr 21] ( 23.604,  91.818)        949           616      19      48     7389
2018-111T10:46:22.5889Z [Apr 21] ( 23.571,  90.760)       1138           977      17      59     7389
2018-111T10:46:23.3532Z [Apr 21] ( 23.572,  90.672)         77           345       3       6     7389
2018-111T10:46:23.8798Z [Apr 21] ( 23.391,  91.664)        247           161       5      16     7389
2018-111T10:46:23.9728Z [Apr 21] ( 23.537,  90.856)        780           426      12      43     7389
2018-111T10:46:24.0642Z [Apr 21] ( 24.428,  91.825)        161           162       4      10     7389
2018-111T10:46:24.5693Z [Apr 21] ( 23.548,  90.654)        167           496       8      11     7389
2018-111T10:46:25.2968Z [Apr 21] ( 24.372,  91.798)        243           345      13      19     7389
2018-111T10:46:25.3903Z [Apr 21] ( 23.453,  90.855)        194           259       5      11     7389
2018-111T10:46:26.8736Z [Apr 21] ( 23.613,  90.711)         90            16       2       6     7389
2018-111T10:46:27.1229Z [Apr 21] ( 23.488,  90.632)        113           164       6       8     7389
2018-111T10:46:27.2606Z [Apr 21] ( 23.475,  91.741)       1084           616      14      54     7389
2018-111T10:46:28.0687Z [Apr 21] ( 23.508,  90.694)        431           293       8      23     7389
2018-111T10:46:29.9254Z [Apr 21] ( 23.366,  91.673)        217           291       6      15     7389
2018-111T10:46:31.1911Z [Apr 21] ( 23.553,  91.730)        266           350       6      19     7389
2018-111T10:46:31.4042Z [Apr 21] ( 23.543,  90.707)        372           512       7      22     7389
2018-111T10:46:32.2690Z [Apr 21] ( 23.474,  90.694)        329           162       5      18     7389
2018-111T10:46:33.5776Z [Apr 21] ( 23.546,  90.626)         39             0       1       2     7389
2018-111T10:46:34.8665Z [Apr 21] ( 23.429,  91.611)        787           625      16      39     7389
2018-111T10:46:35.4685Z [Apr 21] ( 23.710,  91.746)         96             1       2       8     7389
2018-111T10:46:36.7352Z [Apr 21] ( 23.527,  90.814)       1406           568      22      75     7389
2018-111T10:46:37.1191Z [Apr 21] ( 23.468,  90.895)        566             0       1      27     7389
2018-111T10:46:37.3503Z [Apr 21] ( 23.572,  91.801)        842           619      14      40     7389
2018-111T10:46:38.1467Z [Apr 21] ( 23.387,  91.539)        100            37       2       6     7389
2018-111T10:46:38.9527Z [Apr 21] ( 23.400,  91.692)         82            73       3       6     7389
2018-111T10:46:39.0296Z [Apr 21] ( 23.418,  91.843)        310           259       5      25     7389
2018-111T10:46:39.0387Z [Apr 21] ( 24.279,  91.834)        324           121       6      23     7389
2018-111T10:46:41.6809Z [Apr 21] ( 23.488,  91.758)        293           521       9      19     7389
2018-111T10:46:43.6325Z [Apr 21] ( 23.577,  91.568)        332           315       9      28     7389
2018-111T10:46:48.0660Z [Apr 21] ( 23.397,  91.738)        213           185       7      15     7389
2018-111T10:46:48.2665Z [Apr 21] ( 23.625,  91.809)        330           282      14      19     7389
2018-112T09:53:20.4583Z [Apr 22] ( 25.152,  92.446)         73           116       3       6     7404
2018-112T09:53:52.1796Z [Apr 22] ( 25.230,  92.447)        550           138       4      27     7404
2018-115T08:51:28.1162Z [Apr 25] ( 26.990,  88.913)         82           121       3       5     7450
2018-115T08:51:31.2940Z [Apr 25] ( 26.877,  89.082)         11             0       1       1     7450
2018-115T08:51:33.4889Z [Apr 25] ( 26.925,  88.945)         11             0       1       1     7450
2018-115T08:51:35.0500Z [Apr 25] ( 26.839,  89.008)         45             4       2       3     7450
2018-115T08:51:37.9595Z [Apr 25] ( 26.956,  88.912)         14             0       1       1     7450
2018-115T08:51:38.3912Z [Apr 25] ( 26.886,  88.986)         34             0       1       2     7450
2018-115T08:51:40.3052Z [Apr 25] ( 26.912,  89.003)         35             0       1       2     7450
2018-115T08:51:41.8112Z [Apr 25] ( 26.923,  88.948)         72           284       4       5     7450
2018-115T08:51:41.9976Z [Apr 25] ( 26.732,  89.593)         59            59       2       5     7450
2018-115T08:51:42.5278Z [Apr 25] ( 26.941,  89.840)         23            14       2       2     7450
2018-115T08:51:42.6368Z [Apr 25] ( 26.795,  89.263)        232             7       4       9     7450
2018-115T08:51:42.8875Z [Apr 25] ( 26.778,  89.276)        850           358      15      34     7450
2018-115T08:51:43.2186Z [Apr 25] ( 26.767,  88.793)         12             0       1       1     7450
2018-115T08:51:43.7195Z [Apr 25] ( 26.780,  89.793)        142           127       3       7     7450
2018-115T08:51:44.1723Z [Apr 25] ( 26.793,  89.584)        370           302       7      16     7450
2018-115T08:51:44.9004Z [Apr 25] ( 26.912,  89.941)         30             0       1       1     7450
2018-115T08:51:45.9225Z [Apr 25] ( 26.866,  89.059)         37             0       1       3     7450
2018-115T08:51:46.0944Z [Apr 25] ( 26.890,  90.090)        360           329      11      23     7450
2018-115T08:51:46.2396Z [Apr 25] ( 26.809,  90.048)         59            26       3       3     7450
2018-115T08:51:46.3612Z [Apr 25] ( 26.909,  88.958)         36            73       2       2     7450
2018-115T08:51:46.3933Z [Apr 25] ( 26.871,  88.997)         67            28       3       3     7450
2018-115T08:51:46.7183Z [Apr 25] ( 26.910,  90.013)        275           257       6      15     7450
2018-115T08:51:48.5112Z [Apr 25] ( 26.994,  88.918)        106           162       2       5     7450
2018-115T08:51:48.5363Z [Apr 25] ( 26.903,  90.535)         18             0       1       1     7450
2018-115T08:51:49.2671Z [Apr 25] ( 26.857,  89.760)        556           307      15      28     7450
2018-115T08:51:51.8593Z [Apr 25] ( 26.907,  90.115)       1173           442      24      56     7450
2018-115T08:51:53.0162Z [Apr 25] ( 26.848,  89.996)         19             0       1       1     7450
2018-115T08:51:53.4333Z [Apr 25] ( 26.946,  89.908)        847           331      16      34     7450
2018-115T08:51:53.7609Z [Apr 25] ( 26.807,  89.801)        121             1       2       5     7450
2018-115T08:51:54.6524Z [Apr 25] ( 26.978,  90.562)        142            11       3       7     7450
2018-115T08:51:54.8493Z [Apr 25] ( 26.823,  89.600)        932           505      24      42     7450
2018-115T08:51:54.9443Z [Apr 25] ( 26.922,  89.005)        231           334       7      13     7450
2018-115T08:51:56.1151Z [Apr 25] ( 26.871,  89.012)        153            64       2       5     7450
2018-115T08:51:57.5923Z [Apr 25] ( 26.858,  90.046)         12             0       1       1     7450
2018-115T08:51:57.7310Z [Apr 25] ( 26.825,  89.028)         23             0       1       2     7450
2018-115T08:51:58.4004Z [Apr 25] ( 26.889,  90.008)         11             0       1       1     7450
2018-115T08:51:58.6351Z [Apr 25] ( 26.866,  90.151)        205           158       5      12     7450
2018-115T08:51:59.0034Z [Apr 25] ( 26.992,  90.437)        154           112       3       8     7450
2018-115T08:51:59.1682Z [Apr 25] ( 26.891,  90.006)         12             0       1       1     7450
2018-115T08:52:00.0109Z [Apr 25] ( 26.933,  90.285)        299           145       5      14     7450
2018-115T08:52:00.0486Z [Apr 25] ( 26.774,  88.867)         51            26       2       4     7450
2018-115T08:52:00.7812Z [Apr 25] ( 26.922,  90.091)        192           146      10      12     7450
2018-115T08:52:00.8365Z [Apr 25] ( 26.807,  89.632)        160           143       6       9     7450
2018-115T08:52:01.1767Z [Apr 25] ( 26.936,  88.961)        196           143       6       9     7450
2018-115T08:52:01.7334Z [Apr 25] ( 26.834,  89.802)        200            59       4      11     7450
2018-115T08:52:02.0812Z [Apr 25] ( 26.807,  88.788)         92           119       3       4     7450
2018-115T08:52:03.2017Z [Apr 25] ( 26.598,  88.532)        866           338       8      34     7450
2018-115T08:52:03.2037Z [Apr 25] ( 26.865,  89.873)         22            12       2       2     7450
2018-115T08:52:04.1469Z [Apr 25] ( 26.826,  89.719)        112           408       5       8     7450
2018-115T08:52:04.9740Z [Apr 25] ( 26.905,  89.002)         83            93       3       5     7450
2018-115T08:52:05.7127Z [Apr 25] ( 26.967,  89.845)        357           193       9      21     7450
2018-115T08:52:06.3498Z [Apr 25] ( 26.904,  90.171)        344           412       8      19     7450
2018-115T08:52:07.2105Z [Apr 25] ( 26.965,  88.936)         50             0       1       2     7450
2018-115T08:52:07.2749Z [Apr 25] ( 26.029,  91.093)        411            30       7      23     7450
2018-115T08:52:07.3573Z [Apr 25] ( 26.872,  89.024)        115           160       2       7     7450
2018-115T08:52:07.7618Z [Apr 25] ( 26.818,  89.801)        173           204       5      10     7450
2018-115T08:52:08.2849Z [Apr 25] ( 26.258,  90.942)        133            30       5       6     7450
2018-115T08:52:08.8452Z [Apr 25] ( 26.949,  88.972)         36             0       1       2     7450
2018-115T08:52:09.0995Z [Apr 25] ( 26.936,  90.534)        166           280       6      11     7450
2018-115T08:52:10.1522Z [Apr 25] ( 26.778,  89.105)        128            51       3       8     7450
2018-115T08:52:10.4351Z [Apr 25] ( 25.739,  90.525)      10667          1049     102     399     7450
2018-115T08:52:10.6768Z [Apr 25] ( 25.868,  90.554)        689           805      14      34     7450
2018-115T08:52:10.8129Z [Apr 25] ( 26.846,  90.060)         66             3       2       4     7450
2018-115T08:52:10.8215Z [Apr 25] ( 26.955,  89.946)         72            82       2       4     7450
2018-115T08:52:11.1366Z [Apr 25] ( 25.686,  90.373)        230           462      12      17     7450
2018-115T08:52:11.3462Z [Apr 25] ( 26.814,  89.283)       1930           694      15      62     7450
2018-115T08:52:11.5913Z [Apr 25] ( 25.911,  90.802)         17             0       1       1     7450
2018-115T08:52:12.5762Z [Apr 25] ( 26.032,  90.863)       2637          1026      55     114     7450
2018-115T08:52:12.6194Z [Apr 25] ( 26.874,  89.134)         82            26       3       6     7450
2018-115T08:52:12.9561Z [Apr 25] ( 26.885,  90.108)        457           420      11      24     7450
2018-115T08:52:13.0525Z [Apr 25] ( 25.807,  91.052)         46            76       3       3     7450
2018-115T08:52:13.1475Z [Apr 25] ( 26.158,  90.861)         26            89       2       2     7450
2018-115T08:52:13.2405Z [Apr 25] ( 25.902,  91.002)         33            89       3       3     7450
2018-115T08:52:13.3495Z [Apr 25] ( 26.916,  88.885)         37            66       2       2     7450
2018-115T08:52:13.5395Z [Apr 25] ( 26.887,  89.973)         23             0       1       2     7450
2018-115T08:52:14.9037Z [Apr 25] ( 26.795,  89.834)        445           301      10      20     7450
2018-115T08:52:14.9289Z [Apr 25] ( 26.926,  89.948)         11             0       1       1     7450
2018-115T08:52:14.9450Z [Apr 25] ( 26.922,  88.969)        500           137      10      20     7450
2018-115T08:52:15.4052Z [Apr 25] ( 26.772,  89.681)         67           343       5       5     7450
2018-115T08:52:15.9223Z [Apr 25] ( 26.852,  90.030)         16             0       1       1     7450
2018-115T08:52:15.9278Z [Apr 25] ( 26.539,  91.188)        177           107       4      12     7450
2018-115T08:52:16.7361Z [Apr 25] ( 26.843,  89.056)         54             0       1       2     7450
2018-115T08:52:16.8019Z [Apr 25] ( 26.065,  90.991)        199            91       4       9     7450
2018-115T08:52:16.9256Z [Apr 25] ( 26.918,  90.560)        148            77       2       8     7450
2018-115T08:52:17.3125Z [Apr 25] ( 26.867,  90.035)        130           111       3       8     7450
2018-115T08:52:18.7237Z [Apr 25] ( 26.894,  89.993)         72            28       2       5     7450
2018-115T08:52:18.9277Z [Apr 25] ( 26.951,  90.369)       1147            43      12      41     7450
2018-115T08:52:19.4809Z [Apr 25] ( 26.928,  90.101)       1256           348      20      56     7450
2018-115T08:52:19.5241Z [Apr 25] ( 26.925,  89.900)        106            98       5       8     7450
2018-115T08:52:19.5689Z [Apr 25] ( 26.913,  90.778)         11             0       1       1     7450
2018-115T08:52:19.5744Z [Apr 25] ( 25.973,  92.437)        179           178       5       9     7450
2018-115T08:52:19.7548Z [Apr 25] ( 26.833,  89.789)        327           264       9      17     7450
2018-115T08:52:19.9820Z [Apr 25] ( 26.111,  91.012)        112           261       4       7     7450
2018-115T08:52:19.9945Z [Apr 25] ( 26.723,  88.798)         15             0       1       1     7450
2018-115T08:52:20.0161Z [Apr 25] ( 26.842,  90.011)        123            18       3       7     7450
2018-115T08:52:20.1880Z [Apr 25] ( 26.917,  90.232)       1070           254      10      37     7450
2018-115T08:52:20.7468Z [Apr 25] ( 26.920,  89.942)         68             0       1       4     7450
2018-115T08:52:21.8010Z [Apr 25] ( 26.064,  91.079)        385           275      10      20     7450
2018-115T08:52:22.0020Z [Apr 25] ( 26.900,  89.948)         28             0       1       2     7450
2018-115T08:52:22.1110Z [Apr 25] ( 26.839,  90.044)        393           145       8      22     7450
2018-115T08:52:22.5065Z [Apr 25] ( 25.887,  91.088)         15             0       1       1     7450
2018-115T08:52:22.6658Z [Apr 25] ( 26.278,  90.976)        793           481      15      38     7450
2018-115T08:52:22.6930Z [Apr 25] ( 25.938,  91.092)         93           173       3       6     7450
2018-115T08:52:22.7486Z [Apr 25] ( 26.871,  89.066)        279           273       6      14     7450
2018-115T08:52:22.7537Z [Apr 25] ( 26.909,  89.019)        209            91       3      10     7450
2018-115T08:52:23.7330Z [Apr 25] ( 26.865,  90.021)         75           186       5       6     7450
2018-115T08:52:24.2435Z [Apr 25] ( 26.852,  89.858)         67           146       2       4     7450
2018-115T08:52:24.2687Z [Apr 25] ( 26.843,  89.731)        418           169      14      23     7450
2018-115T08:52:24.7842Z [Apr 25] ( 26.707,  89.575)        188            96       4       8     7450
2018-115T08:52:24.8038Z [Apr 25] ( 26.920,  89.982)         51            75       2       3     7450
2018-115T08:52:26.0481Z [Apr 25] ( 26.944,  89.932)        629           207      14      32     7450
2018-115T08:52:26.4491Z [Apr 25] ( 26.920,  90.137)        106            66       5       7     7450
2018-115T08:52:26.4742Z [Apr 25] ( 26.816,  90.028)        174             9       3       9     7450
2018-115T08:52:26.8450Z [Apr 25] ( 26.829,  89.636)       1823           482      28      74     7450
