Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-056T23:09:14.9476Z [Feb 25] ( 23.416,  90.741)        352           185       6      24     6542
2018-056T23:09:16.6948Z [Feb 25] ( 26.230,  88.247)        125           245       5      10     6542
2018-056T23:09:17.0240Z [Feb 25] ( 23.792,  91.197)        155           164       4       9     6542
2018-056T23:09:17.8014Z [Feb 25] ( 23.008,  90.737)        234           150      14      22     6542
2018-056T23:09:18.1451Z [Feb 25] ( 24.116,  91.623)         61             1       2       5     6542
2018-056T23:09:18.4512Z [Feb 25] ( 22.684,  91.042)        151           321       5      11     6542
2018-056T23:09:18.6768Z [Feb 25] ( 22.720,  91.086)         42            93       2       3     6542
2018-056T23:09:19.2837Z [Feb 25] ( 24.154,  90.436)         35             2       2       3     6542
2018-056T23:09:19.6938Z [Feb 25] ( 23.924,  90.584)         23             0       1       2     6542
2018-056T23:09:19.7802Z [Feb 25] ( 24.021,  90.649)       1135           189      22      63     6542
2018-056T23:09:20.8148Z [Feb 25] ( 26.607,  88.423)        584           152       8      31     6542
2018-056T23:09:21.0907Z [Feb 25] ( 21.661,  87.562)        526           202      14      33     6542
2018-056T23:09:21.8083Z [Feb 25] ( 23.941,  90.068)         44            73       2       4     6542
2018-056T23:09:22.4852Z [Feb 25] ( 21.627,  87.501)        313           180       5      16     6542
2018-056T23:09:23.3122Z [Feb 25] ( 23.327,  90.959)        333            80       3      19     6542
2018-056T23:09:23.4755Z [Feb 25] ( 24.063,  90.503)       1578           492      29      85     6542
2018-056T23:09:23.4986Z [Feb 25] ( 24.211,  90.397)        441           193       9      26     6542
2018-056T23:09:23.6650Z [Feb 25] ( 23.856,  90.462)         31            35       2       3     6542
2018-056T23:09:24.1841Z [Feb 25] ( 23.844,  90.460)       1394           180      21      73     6542
2018-056T23:09:24.2701Z [Feb 25] ( 23.385,  90.604)        236           175       4      14     6542
2018-056T23:09:26.7679Z [Feb 25] ( 26.538,  88.326)        259           184       5      14     6542
