"lis_2017_67","20170319","20.587","88.279","211","175","5","12","1206","15:44:35.4425"
"lis_2017_68","20170319","20.704","87.591","1586","243","18","60","1206","15:44:35.8647"
"lis_2017_69","20170319","20.655","88.340","13","0","1","1","1206","15:44:36.9837"
"lis_2017_70","20170319","20.781","88.276","881","357","12","39","1206","15:44:37.6465"
"lis_2017_71","20170319","20.731","87.613","1277","472","19","60","1206","15:44:38.0922"
"lis_2017_72","20170319","20.791","88.983","1024","868","17","61","1206","15:44:38.2963"
"lis_2017_73","20170319","20.664","88.223","39","0","1","3","1206","15:44:38.5737"
"lis_2017_74","20170319","20.671","87.831","501","262","6","22","1206","15:44:38.6385"
"lis_2017_75","20170319","20.996","89.015","886","215","14","49","1206","15:44:39.3525"
"lis_2017_76","20170319","20.988","89.006","104","2","2","7","1206","15:44:39.9218"
"lis_2017_77","20170319","20.789","89.127","1704","461","16","83","1206","15:44:40.5861"
"lis_2017_78","20170319","20.745","89.173","11","0","1","1","1206","15:44:40.7509"
"lis_2017_79","20170319","20.586","88.002","428","229","8","30","1206","15:44:41.0116"
"lis_2017_80","20170319","20.703","87.573","26","11","2","2","1206","15:44:42.0810"
"lis_2017_81","20170319","20.689","87.953","2200","487","24","106","1206","15:44:42.5072"
"lis_2017_82","20170319","20.840","88.976","1393","651","25","86","1206","15:44:42.7614"
"lis_2017_83","20170319","20.989","89.041","190","311","5","14","1206","15:44:43.5528"
"lis_2017_84","20170319","20.745","88.345","30","0","1","2","1206","15:44:44.0598"
"lis_2017_85","20170319","20.775","88.299","1961","373","29","106","1206","15:44:44.2262"
"lis_2017_86","20170319","20.696","88.224","107","157","8","10","1206","15:44:44.3015"
"lis_2017_87","20170319","20.668","87.585","191","118","2","8","1206","15:44:44.4910"
"lis_2017_88","20170319","20.724","87.592","390","201","11","24","1206","15:44:45.0669"
"lis_2017_89","20170319","20.652","87.852","1523","384","25","79","1206","15:44:45.4050"
"lis_2017_90","20170319","20.807","88.990","42","138","4","4","1206","15:44:46.7049"
"lis_2017_91","20170319","20.744","88.251","485","519","15","42","1206","15:44:47.1079"
"lis_2017_92","20170319","20.808","87.775","918","214","19","54","1206","15:44:47.4355"
"lis_2017_93","20170319","20.735","87.878","105","177","3","9","1206","15:44:48.0582"
"lis_2017_94","20170319","20.956","89.039","169","185","3","12","1206","15:44:48.4471"
"lis_2017_95","20170319","20.763","87.595","211","35","5","10","1206","15:44:49.0109"
"lis_2017_96","20170319","20.708","88.527","725","12","8","40","1206","15:44:49.2793"
"lis_2017_97","20170319","20.775","88.583","485","75","9","35","1206","15:44:49.4154"
"lis_2017_98","20170319","20.648","87.873","860","209","16","39","1206","15:44:49.5747"
"lis_2017_99","20170319","20.999","88.981","1392","327","29","81","1206","15:44:49.7843"
"lis_2017_100","20170319","20.684","87.863","1206","157","9","47","1206","15:44:50.7922"
"lis_2017_101","20170319","20.745","87.628","886","298","16","42","1206","15:44:51.1701"
"lis_2017_102","20170319","20.765","88.312","1382","1031","35","88","1206","15:44:51.8650"
"lis_2017_103","20170319","20.856","89.009","2042","403","34","103","1206","15:44:53.1413"
"lis_2017_104","20170319","20.653","87.892","1040","514","15","52","1206","15:44:53.5388"
"lis_2017_105","20170319","20.784","88.939","910","493","11","60","1206","15:44:53.8936"
"lis_2017_106","20170319","20.669","88.037","406","224","6","29","1206","15:44:54.1905"
"lis_2017_107","20170319","20.886","88.872","189","21","6","17","1206","15:44:54.4001"
"lis_2017_108","20170319","20.885","88.732","2681","911","30","197","1206","15:44:54.6257"
"lis_2017_109","20170319","20.946","88.682","2333","821","18","122","1206","15:44:54.6865"
"lis_2017_110","20170319","20.995","88.607","2171","91","5","65","1206","15:44:54.9710"
"lis_2017_111","20170319","20.729","87.601","871","313","13","60","1206","15:44:54.9785"
"lis_2017_112","20170319","20.987","89.045","791","741","19","51","1206","15:44:55.0197"
"lis_2017_113","20170319","20.905","88.583","12","0","1","1","1206","15:44:55.2056"
"lis_2017_114","20170319","20.916","89.007","51","61","2","5","1206","15:44:55.2860"
"lis_2017_115","20170319","20.699","87.849","793","415","21","49","1206","15:44:56.0901"
"lis_2017_116","20170319","20.621","87.902","108","64","4","8","1206","15:44:56.4035"
"lis_2017_117","20170319","20.727","88.338","12","0","1","1","1206","15:44:57.3257"
"lis_2017_118","20170319","20.674","87.885","569","331","6","25","1206","15:44:57.6744"
"lis_2017_119","20170319","20.782","88.320","536","220","11","37","1206","15:44:58.6884"
"lis_2017_120","20170319","20.737","87.586","185","134","5","9","1206","15:44:58.7849"
"lis_2017_121","20170319","20.732","88.264","75","187","2","6","1206","15:44:58.8010"
"lis_2017_122","20170319","20.730","87.855","266","127","5","18","1206","15:44:59.5904"
"lis_2017_123","20170319","20.824","89.009","1115","462","24","71","1206","15:44:59.7211"
"lis_2017_124","20170319","20.765","87.897","61","91","4","6","1206","15:44:59.9235"
"lis_2017_125","20170319","20.639","87.886","152","243","7","12","1206","15:45:00.0758"
"lis_2017_126","20170319","20.766","87.617","65","99","6","6","1206","15:45:00.1959"
"lis_2017_127","20170319","20.689","87.980","88","39","2","7","1206","15:45:00.2511"
"lis_2017_128","20170319","20.709","87.881","1858","318","19","80","1206","15:45:01.3039"
"lis_2017_129","20170319","21.006","89.009","1602","250","25","89","1206","15:45:01.3451"
"lis_2017_130","20170319","20.726","87.911","493","227","7","24","1206","15:45:01.3561"
"lis_2017_131","20170319","21.098","88.949","35","0","1","2","1206","15:45:01.6511"
"lis_2017_132","20170319","21.018","89.016","2206","241","26","117","1206","15:45:01.9607"
"lis_2017_133","20170319","21.376","89.061","4565","780","61","245","1206","15:45:03.0621"
"lis_2017_134","20170319","20.784","88.311","1277","302","21","78","1206","15:45:03.3430"
